doc_id,text,expected_title_substring,expected_type,expected_domain
DOC-001,"Title: Thailand COVID-19 Daily Cases 2024
Description: Provincial daily case counts and deaths from the Ministry of Public Health.
Tags: covid, health, Thailand, epidemiology",COVID-19,Dataset,health
DOC-002,"Title: Bangkok PM2.5 Hourly Monitoring
Description: Particulate matter readings from 80 air quality stations.
Keywords: air-quality, PM25, Bangkok",PM2.5,Dataset,environment
DOC-003,"Title: Thai Stock Exchange Daily Close 2024
Description: SET index daily closing values and volume.",Stock Exchange,Dataset,finance
DOC-004,"Title: KKU Library Loan Records 2024
Description: Anonymized book circulation data from the central library.",Library Loan,Dataset,education
DOC-005,"Title: Chao Phraya River Water Quality
Description: Monthly DO, pH, and turbidity measurements.",Water Quality,Dataset,environment
DOC-006,"Title: Thailand National Election Results 2023
Description: Constituency-level vote counts.",Election Results,Dataset,government
DOC-007,"Title: Khon Kaen Hospital Admissions
Description: De-identified inpatient records with ICD-10 diagnoses.",Hospital Admissions,Dataset,health
DOC-008,"Title: Iris Flower Classification Set
Description: 150 samples, 4 features, 3 species.",Iris,Dataset,education
DOC-009,"Title: Thailand Rice Production by Province
Description: Yearly tonnage 2010-2024 from the Department of Agriculture.",Rice Production,Dataset,agriculture
DOC-010,"Title: Bangkok BTS Ridership 2024
Description: Hourly passenger counts at all 62 stations.",BTS Ridership,Dataset,transport
DOC-011,"Title: Climate Adaptation Policy Brief 2024
Description: An overview of Thailand's national climate adaptation framework.",Climate Adaptation,Text,government
DOC-012,"Title: Annual Report KKU 2024
Description: Academic and research achievements for fiscal year 2024.",Annual Report,Text,education
DOC-013,"Title: SARS-CoV-2 Genomic Surveillance Manuscript
Description: Peer-reviewed paper on viral variants in Southeast Asia.",Genomic Surveillance,Text,health
DOC-014,"Title: Thai Penal Code Amendments 2024
Description: Full text of statutory changes.",Penal Code,Text,government
DOC-015,"Title: Open Banking Whitepaper Thailand
Description: Industry consultation paper on API standards.",Open Banking,Text,finance
DOC-016,"Title: PM2.5 Mortality Meta-Analysis
Description: Systematic review of 47 cohort studies.",Mortality Meta-Analysis,Text,health
DOC-017,"Title: Rice Genome Sequencing Report
Description: Technical bulletin on Hom Mali genome.",Rice Genome,Text,agriculture
DOC-018,"Title: Smart City Master Plan Khon Kaen
Description: 10-year urban development strategy.",Smart City,Text,government
DOC-019,"Title: AI Ethics Guidelines NSTDA
Description: National framework for trustworthy AI.",AI Ethics,Text,government
DOC-020,"Title: Open Government Data Best Practices
Description: Curated catalogue guidelines following DCAT 2.",Open Government,Text,government
DOC-021,"Title: Satellite Image Set Bangkok Floods 2011
Description: Sentinel-2 RGB tiles covering the 2011 flood.",Satellite Image,StillImage,environment
DOC-022,"Title: Thai Folk Art Photograph Archive
Description: 500 high-resolution images of regional crafts.",Folk Art,StillImage,culture
DOC-023,"Title: Medical X-Ray Pneumonia Dataset
Description: 5,000 chest radiographs labeled normal vs pneumonia.",X-Ray,StillImage,health
DOC-024,"Title: Rice Disease Leaf Image Set
Description: 3,000 photos labeled by 4 disease classes.",Rice Disease,StillImage,agriculture
DOC-025,"Title: Historical Map Collection Siam 1880-1932
Description: Scanned cartographic archive.",Historical Map,StillImage,culture
DOC-026,"Title: PyKKU NLP Toolkit
Description: Open-source Thai NLP utilities; Python 3.11.",PyKKU,Software,education
DOC-027,"Title: ThaiGov-DCAT Validator
Description: CLI tool for DCAT 2 compliance.",DCAT Validator,Software,government
DOC-028,"Title: SmartFarm Decision App
Description: Mobile decision-support for paddy growers.",SmartFarm,Software,agriculture
DOC-029,"Title: Air Quality Forecast Service
Description: REST API delivering 24h PM2.5 forecasts.",Air Quality Forecast,Software,environment
DOC-030,"Title: KKU Library OPAC Source Code
Description: Open-source online catalogue.",OPAC,Software,education
DOC-031,"Title: KKU SPARQL Endpoint
Description: Public RDF query service for university bibliographic graphs.",SPARQL,Service,education
DOC-032,"Title: NSTDA Open Data Portal API
Description: REST API for catalogue search.",Open Data Portal,Service,government
DOC-033,"Title: Thai Citation Index Web Service
Description: SOAP and REST endpoints for scholarly metadata.",Citation Index,Service,education
DOC-034,"Title: BAAC Loan Calculator Service
Description: Online calculator for agricultural loan estimates.",Loan Calculator,Service,finance
DOC-035,"Title: National Election Live Tally API
Description: WebSocket service streaming vote counts.",Election Live Tally,Service,government
DOC-036,"Title: KKU Annual Research Forum 2024
Description: 3-day conference with 200 papers.",Research Forum,Event,education
DOC-037,"Title: Bangkok Music Festival 2024
Description: 2-week cultural event with 80 artists.",Music Festival,Event,culture
DOC-038,"Title: International AI Symposium Thailand
Description: Hybrid conference on responsible AI.",AI Symposium,Event,education
DOC-039,"Title: Thai Court Music Audio Archive
Description: 200 lossless recordings of Piphat ensembles.",Court Music,Sound,culture
DOC-040,"Title: Wildlife Bioacoustics Khao Yai
Description: 1,000 hours of forest sound recordings.",Bioacoustics,Sound,environment
DOC-041,"Title: NSO Population Census 2024
Description: Provincial population, age, and household statistics from the National Statistical Office.",Population Census,Dataset,government
DOC-042,"Title: GISTDA Sentinel-2 Surface Reflectance
Description: Atmospherically corrected satellite imagery over Thailand 2020-2024.",Sentinel-2,Dataset,environment
DOC-043,"Title: Thai Bond Market Daily Prices
Description: Daily yield curves and clean prices for government and corporate bonds.",Bond Market,Dataset,finance
DOC-044,"Title: Bangkok Taxi Trajectory Dataset
Description: Anonymized GPS traces of 5,000 taxis over one month.",Taxi Trajectory,Dataset,transport
DOC-045,"Title: Wheat Yield Prediction Features
Description: Multispectral and weather features for yield modeling.",Wheat Yield,Dataset,agriculture
DOC-046,"Title: KKU MOOC Learning Logs
Description: De-identified clickstream data from 12 online courses.",MOOC Learning,Dataset,education
DOC-047,"Title: ASEAN Energy Consumption 2020-2024
Description: Annual electricity and fossil-fuel consumption by member state.",Energy Consumption,Dataset,environment
DOC-048,"Title: Thai Restaurant Reviews Sentiment
Description: 50,000 Wongnai reviews labeled positive/neutral/negative.",Restaurant Reviews,Dataset,culture
DOC-049,"Title: Bangkok Crime Incident Report 2023
Description: Geo-coded incidents from the Royal Thai Police.",Crime Incident,Dataset,government
DOC-050,"Title: Mekong River Discharge
Description: Daily flow measurements at 12 gauging stations.",Mekong Discharge,Dataset,environment
