doc_id	text	expected_title_substring	expected_type	expected_domain
DOC-001	Title: Thailand COVID-19 Daily Cases 2024 \n Description: Provincial daily case counts and deaths from the Ministry of Public Health. \n Tags: covid, health, Thailand, epidemiology	COVID-19	Dataset	health
DOC-002	Title: Bangkok PM2.5 Hourly Monitoring \n Description: Particulate matter readings from 80 air quality stations. \n Keywords: air-quality, PM25, Bangkok	PM2.5	Dataset	environment
DOC-003	Title: Thai Stock Exchange Daily Close 2024 \n Description: SET index daily closing values and volume.	Stock Exchange	Dataset	finance
DOC-004	Title: KKU Library Loan Records 2024 \n Description: Anonymized book circulation data from the central library.	Library Loan	Dataset	education
DOC-005	Title: Chao Phraya River Water Quality \n Description: Monthly DO, pH, and turbidity measurements.	Water Quality	Dataset	environment
DOC-006	Title: Thailand National Election Results 2023 \n Description: Constituency-level vote counts.	Election Results	Dataset	government
DOC-007	Title: Khon Kaen Hospital Admissions \n Description: De-identified inpatient records with ICD-10 diagnoses.	Hospital Admissions	Dataset	health
DOC-008	Title: Iris Flower Classification Set \n Description: 150 samples, 4 features, 3 species.	Iris	Dataset	education
DOC-009	Title: Thailand Rice Production by Province \n Description: Yearly tonnage 2010-2024 from the Department of Agriculture.	Rice Production	Dataset	agriculture
DOC-010	Title: Bangkok BTS Ridership 2024 \n Description: Hourly passenger counts at all 62 stations.	BTS Ridership	Dataset	transport
DOC-011	Title: Climate Adaptation Policy Brief 2024 \n Description: An overview of Thailand's national climate adaptation framework.	Climate Adaptation	Text	government
DOC-012	Title: Annual Report KKU 2024 \n Description: Academic and research achievements for fiscal year 2024.	Annual Report	Text	education
DOC-013	Title: SARS-CoV-2 Genomic Surveillance Manuscript \n Description: Peer-reviewed paper on viral variants in Southeast Asia.	Genomic Surveillance	Text	health
DOC-014	Title: Thai Penal Code Amendments 2024 \n Description: Full text of statutory changes.	Penal Code	Text	government
DOC-015	Title: Open Banking Whitepaper Thailand \n Description: Industry consultation paper on API standards.	Open Banking	Text	finance
DOC-016	Title: PM2.5 Mortality Meta-Analysis \n Description: Systematic review of 47 cohort studies.	Mortality Meta-Analysis	Text	health
DOC-017	Title: Rice Genome Sequencing Report \n Description: Technical bulletin on Hom Mali genome.	Rice Genome	Text	agriculture
DOC-018	Title: Smart City Master Plan Khon Kaen \n Description: 10-year urban development strategy.	Smart City	Text	government
DOC-019	Title: AI Ethics Guidelines NSTDA \n Description: National framework for trustworthy AI.	AI Ethics	Text	government
DOC-020	Title: Open Government Data Best Practices \n Description: Curated catalogue guidelines following DCAT 2.	Open Government	Text	government
DOC-021	Title: Satellite Image Set Bangkok Floods 2011 \n Description: Sentinel-2 RGB tiles covering the 2011 flood.	Satellite Image	StillImage	environment
DOC-022	Title: Thai Folk Art Photograph Archive \n Description: 500 high-resolution images of regional crafts.	Folk Art	StillImage	culture
DOC-023	Title: Medical X-Ray Pneumonia Dataset \n Description: 5,000 chest radiographs labeled normal vs pneumonia.	X-Ray	StillImage	health
